51300135742,ega,154,253
51300220216,dbb,266,97
51300232376,fga,21,76
51300235168,fgg,141,49
51300247281,fce,129,74
51300268297,agb,15,57
51300278738,ega,241,255
51300319782,eed,45,230
51300334380,ebb,189,236
51300371495,daf,41,290
51300379799,ebg,58,153
51300413817,eae,95,142
51300417591,dbc,31,205
51300534853,afc,19,104
51300543160,bdd,278,225
51300573390,add,139,106
51300616589,bdc,8,128
51300631203,eeg,45,231
51300671375,efa,294,269
51300680174,cce,55,56
51300681439,gbd,192,211
51300712965,fad,146,39
51300854574,eda,63,35
51300875496,dbf,10,218
51300875789,ace,14,89
51300879245,ggb,82,88
51300888555,dgc,227,280
51300911366,gfd,262,207
51300929428,cff,103,161
51300934777,bdc,100,121
51301036939,dcb,149,253
51301037999,ddd,41,9
51301045091,abe,187,211
51301070512,dbc,19,221
51301174943,geg,263,133
51301254026,cda,20,23
51301267649,feb,164,280
51301396178,gga,219,79
51301473913,aad,217,97
51301498319,gdd,296,131
51301513160,gee,95,28
51301539838,bdg,250,273
51301548783,fgd,298,143
51301570350,abc,251,31
51301586853,abg,66,256
51301683624,gcf,164,113
51301700510,dec,148,171
51301734973,dbf,233,250
51301734975,cbf,126,133
51301778579,bgb,26,233
51301799459,eaa,190,7
51301834659,fcf,258,159
51301837050,bad,8,132
51301848818,acf,233,283
51301882247,ced,174,189
51301885659,fgb,46,5
51301911801,cbc,248,244
51301919938,cec,206,223
51301940781,fbc,222,158
51301972761,aae,23,123
51301975841,bfa,139,220
51302016400,gfa,67,180
51302038033,aee,161,184
51302039449,fdb,82,106
51302069164,cgc,132,162
51302138994,bgg,34,75
51302146377,cfa,167,79
51302147377,add,147,122
51302175155,dfa,279,44
51302212104,fbb,167,69
51302246206,cff,241,140
51302260259,cea,291,192
51302262527,eec,295,212
51302273437,ebc,109,110
51302277500,efc,226,246
51302298624,cfg,264,230
51302303546,ccb,128,242
51302310868,faa,51,151
51302319046,cda,121,26
51302327129,fdd,68,233
51302342235,deb,252,114
51302364077,gfb,6,25
51302391492,dcd,8,284
51302435926,gcg,114,16
51302457698,abc,23,35
51302529030,dab,195,23
